8847,0
5262,2,0
12419,0,0,0,0,0,0,0,0,0
8559,0
1328,3,2,0,5,0,0
14397,0,0,0,0
12698,3,2,0,0,0
2671,0,0,1,0,2,0,0,0,2,0,0
6222,0,0
11705,0,0,0,0
11776,0,1,0,0,1,0,5,0,2,0
11268,0,0,0,0,0,0
4306,0,0,0,0,0
3579,0,0,0,0,0,0,0,0
12528,2,0,3
13434,6,0
5894,1,0,0,0,0,0,0,0,0,2
12969,0,0,3,0,4,1
1160,0,3,2,1,1,1,2,0,1,2,0,0
10276,0,0,0,0,0
8839,0,0
14615,0,0,3
11124,0,0,0,0,0,0
12981,0,0,0,0,1,1,3,3,0
7594,0,0,0,3,1,1,0,0
11093,0,1,1,0,0,0,0,0,1,0
4026,4
1281,2,1,1,3,1,2,2,0,0,0,0,0,3,1,1,1
11743,0,0
6376,2,1,0,3,0,0,0
8787,0,0,1,0,0,1,1,1,0,2,2,0,0,1,0,0
3739,0,2,4,1,2,0,0
11127,2,0,0
11164,0,1
731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
3733,0,0,2,5,2,3,1,0,0
9449,0,0,0,1,1,2,0,2,0
661,1,5,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,3,3,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,2,0,1,2,1,1,2,0,1,0
12774,0,0,0
1888,0,0,0,0,0,0,0,0,0,0
2944,0,0,0,0,0,0,1,0,0
13985,0,0,33,0
1143,0,1,0,0,0,2,0,3,1,0,0,0,0,0,0,0,1,0,0,2,1
712,0,2,2,1,1,1,0,2,2,1,1,3,0,2,0,2,0,0,2,0,0,0,0,0,0
15164,0,0,0,4,3,1,0,4
652,1,1,2,3,3,2,5,8,1,1,0,0,0,0,2,1,0,3,2,2,1,2,0,0,0,0,0,0,4,0,1,3,0,1,0,0,1,0,1,0,0,0,0
1478,1,1,2,1,1,6,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,2,3,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0
819,0,0,0,0,1,0,0,2,1,1,2,0,2,3,0,0,0,3,1,0,0,0
8784,0,0,0,0,0,0,3,0,0,3,0,0,0,2,1,0,0,0,0,0,1,5,1,2,1,0,0,0,3,0,1,0,1,0,1,1,1,0,0,2,0,0,1,0
739,0,1,4,1,1,0,0,0,0,0,1,0,1,3,1,1,2,1,1,0,3,3,2,3,0,1,0,0,0,9,0,0,1,3,1,7,2,3,1,0,1,2,1,2,0,0,0,0,1,1,1,1,1,0,3,2,1,0
1148,5,1,1,1,3,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,1,1,0
919,0,1,1,4,1,1,1,2,2,2,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,1,8,1,1,0,0,1,0,0,8,0,0,3,0,4,0,0,3,4,0,0,1,0,0,0
1424,0,1,0,9,6,19,0,5,2,1,0,0,0,0,0,2,3,5,1,2,1,1,5,0,0,0,0,0,0,5,0,0,0,0,0,5,8,1,0,1,2,0,1,0,0,0,0,0,0,0,1,4,0,1,0,1,0,1
13626,0
637,0,1,1,1,1,1,1,5,1,1,0,0,0,0,0,2,1,0,0,1,0,0,2,0,1,4,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,3,0,1,1,2,0,2,0,1,1,0,0,2,1,1,6
716,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,8,2,2,0,0,2,9,0,0,1,2,15,10,4,2,2,0,4,1,1,2,1,1,0,4,1,1,0,2,4,0,2,0,0,0,0,0,0,0
670,0,3,2,1,1,2,1,5,1,1,1,1,0,1,0,1,3,5,0,0,1,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,2,1,0,1,1,0,0,0,0,0,4,2,3,0,0,0,0,1,0,1,1,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,1,1,0,0,0,5,3,0,0,3,0,3,0,3,0,0,1,3,0,3,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,1,9,4,11,0,0,0,1,0,0,0,0,0
12771,0,4,0,2,0,0,0,1,1,0,0,0,1,1,1,2,0,0,1,2,0,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0
2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,4,1,0,0,1,0,0,0,0,2,1,1,2,1,0,0,0,0,4,0,2,1,6,0,1,1,1,1,0,1,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,5,1,1,2,1,0,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,1,1,1,1,0,3,0,1,0
11898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,0,0,0,0,0,1,14,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,3,0,0,5,0,0,0,12,0,2,6,8,0,0,0,0,0,3,0,0,0,0,0,0,0
