5.170263375039396703e-03 2.014393897470861949e-01 5.230885338865332024e-02 9.183825950265722682e-02 4.319874894849882185e-01 1.479511363159401185e+02 1.062072059563344828e-01 3.207204025861410628e+02 6.894536729452677148e-02 3.138623116630849183e-03 2.190550052454031671e-01 7.959814968515359634e-01 8.229009572472228973e-02 9.997463095149784762e-02
7.941112527242111252e-03 2.721568464354113814e-01 9.208455052596042911e-03 9.860297496665564043e-02 7.065114576795865631e-01 1.238006113550380594e-01 2.544941656583432632e-01 9.795748234208335736e-01 5.606681599264221050e-02 5.526800497986986832e-03 1.288561813291999036e-01 4.236448236896133146e-01 5.592226936210181742e-02 5.623545184730726482e-02
9.455672661866815210e-02 6.514022993956936070e-02 2.480550135884543317e-02 8.752856611522615016e-02 5.336272868911411393e-01 4.243670919197906066e-02 1.372176783046408222e-01 4.355277440144173795e+01 4.896782090127546616e-02 2.354044611838568973e-03 4.272971667158770304e-02 2.992110917713464158e-02 2.319726779147074369e-03 9.972007503343338630e-02
2.334252884663006178e-01 1.638447953114890998e-01 4.309856399538011806e-02 1.135951041547260398e-02 7.088878584095298363e-01 2.096020952066544041e-01 2.330534390621503693e-01 6.393420969358891703e-01 5.858001336295831640e-02 3.224722950010489725e-03 7.130916144782611932e-02 3.172019020997951522e-03 4.579359235609842260e-03 1.457744236994121256e-01
7.930495956213906572e-02 2.714135034984028749e-01 7.761828375633994526e-03 4.830102046750286982e-02 2.449597328229839999e-01 3.696174040879800504e-01 8.720972146825112237e-02 3.173411708569920719e+00 2.699402627323382875e-02 6.180937932459534129e-04 7.704277464555542299e-03 1.772788495495891681e-02 2.761178910650238794e-02 6.446527905143575876e-02
2.956429048637703727e-01 1.609372572225928888e-01 1.833952561479565424e-02 1.763151529460830480e-01 2.798743728488631177e+00 6.593963624301202309e-03 9.695697586845453131e-02 3.947852652493291004e+01 4.222206305147585548e-02 4.881523297501199482e-04 1.432000294211073221e-01 1.673157017733014618e-01 4.178197470134084601e-02 9.317378430818411272e-02
2.999999425857456936e-01 1.580674932889305495e-01 1.077574777546336238e-02 2.407490919293856779e-01 9.949249292024948677e-01 1.358508328747348726e-01 1.541319439019402937e-01 2.172608214156003825e+01 7.253604115637976579e-02 4.905886882852922640e-03 2.999974645653645244e-01 3.086830025840332503e-01 4.918277295842057861e-02 8.500625449618326446e-02
4.636172813393729664e-02 1.306983821035646587e-01 1.073907836000395633e-02 1.900545984886012341e-02 3.301888305353002373e-01 1.362944088014494959e-01 2.985377039393088960e-02 5.565954587211947580e-01 2.702343407658427954e-02 4.686419484871648736e-03 3.961461697543128269e-02 2.508129538949011028e-02 1.722403481955006588e-02 2.354759922875025724e-02
4.322106116349289096e-02 1.244804409020193736e-01 1.280310441327656146e-02 6.052886882160513071e-02 2.544783062569941912e-01 3.572045350811434705e-01 3.154428244368767675e-02 3.093449768905771613e-01 3.565294899487389535e-02 4.513676783344737486e-03 2.640335073823096845e-02 1.188348424972310857e-01 6.705776843288047129e-03 2.260242461297549965e-02
4.727562316959826871e-02 1.897056434327626384e-02 7.658702888069801595e-04 9.498755159761082534e-02 3.532291091417265605e-01 5.881787371596280956e-02 3.088942945514761007e-03 1.554650103676636252e+00 3.073792289076163198e-02 5.197004647576329225e-03 4.337263304226823823e-02 2.983878873728063041e-02 1.379397996200515397e-03 2.367348024804415141e-02
8.962697357609572535e-03 7.657450311849356428e-02 1.427698660625337235e-02 4.709261873281911370e-04 3.048700922587173068e-01 4.336736290909959379e-02 7.257112307768665005e-02 1.213105960563323205e+00 3.580277062326481241e-02 2.489622893501339251e-03 6.322340500363665683e-02 4.013985320994040151e-02 2.211862730400748767e-04 5.502742499173527563e-02
