0,0.694,0.011,2.041
1,0.001,0.0,0.002
2,2.227,2.684,1.155
3,0.311,0.31,0.009
4,35.106,6.794,67.223
5,10.207,0.84,17.229
6,4.826,5.137,1.852
7,0.813,0.812,0.024
8,0.03,0.032,0.003
9,0.191,0.189,0.005
11,0.084,0.001,0.149
12,0.001,0.0,0.002
13,0.44,0.522,0.195
14,0.383,0.382,0.003
10,54979.876,54997.811,290.939
