0,0.694,0.011,2.041,0.015,0.02,0.008
1,0.001,0.0,0.002,0.603,0.0,2.022
2,2.227,2.684,1.155,0.005,0.0,0.013
3,0.311,0.31,0.009,144.087,0.038,627.892
4,35.106,6.794,67.223,11.704,0.113,41.998
5,10.207,0.84,17.229,97.429,11.36,250.734
6,4.826,5.137,1.852,410.982,2.418,1731.647
7,0.813,0.812,0.024,4544.302,1.071,19680.757
8,0.03,0.032,0.003,0.042,0.041,0.002
9,0.191,0.189,0.005,0.012,0.012,0.002
11,0.084,0.001,0.149,0.142,0.173,0.062
12,0.001,0.0,0.002,0.016,0.0,0.061
13,0.44,0.522,0.195,0.0,0.0,0.001
14,0.383,0.382,0.003,0.24,0.213,0.237
10,54979.876,54997.811,290.939,14994.565,15036.235,190.123
